"user_id","school","startdate","enddate","degree_raw","field_raw"
419681999,"Cuyahoga Community College","2001-01-01","2003-01-01","Associate of Arts and Sciences - AAS","Computer Science"
2024064857,"Clackamas Community College","2000-01-01","2002-01-31","No Degree","General Education/Business Management"
352308298,"Independence University","2018-01-01","2021-01-31","Associate's degree","Accounting and Business/Management"
234908482,"South Point High School","1999-01-01","2000-01-01","Standard 10","General Studies"
270910993,"Houghton College",,,"Bachelor of Science - BS","PE and Athletic Training"
141958341,"Comportamento - Psicologia do Trabalho","2011-01-01","2011-01-01","Leadership Development in Behavioral Safety",
910374133,"Columbia College","2011-01-01","2013-01-01","University Transfer",
379876339,"University of Toronto","2020-01-01","2022-01-01","Master of Arts - MA","European and Russian Affairs"
77215931,"ISARA Lyon","2007-01-01","2014-01-01","Ingénieur ISARA-Lyon","Agronomie, Alimentation, Environnement"
979702660,"Lycée Professionnel Arthur Rimbaud - Garges-lès-Gonesse","2002-01-01","2004-01-01","Bac Professionnel Comptabilité","Comptabilité"
416956465,"Florida Agricultural and Mechanical University","2004-01-01","2009-01-01","Bachelor's degree","Business Administration and Management, General"
101222275,"University of Notre Dame","2010-01-01","2014-01-31","Bachelor of Arts (B.A.)","Economics, Mathematics"
977635795,"Kenan Evren Anadolu Lisesi","2003-01-01","2007-01-01",,
462732499,"Escola Superior de Agricultura ""Luiz de Queiroz""​","2016-01-01","2016-01-31","Especilizacao","Herbicidas"
626913385,"Universiity of Wyoming",,,,
677823177,"Indian Institute of Technology, Bombay","2014-01-01","2016-01-01","Master of Science (M.Sc.)",
1799988,"Maritime Academy","1984-01-01","1992-01-01",,
412870086,"Markus Verbeek Praehep","2011-01-01","2013-01-01","Moderne bedrijfsadministratie","Accounting and Finance"
476520304,"Grand Valley State University","2002-01-01","2006-01-01","Bachelor's degree","Marketing"
444104460,"INTEC","2010-01-01",,"DCG","Comptabilité et finance"
674067262,"Boston Latin School","2002-01-01","2008-01-01","High School Diploma",
355009172,"Università degli Studi di Trieste","2007-01-01","2010-01-01","Bachelor’s Degree","International Relations and Diplomacy"
324521898,"State University of New York College at Cortland","2012-01-01","2016-01-01","Bachelor's degree","Buisness Economics"
255056897,"Berufsbildende Schule Halle",,,"Verkäuferin",
88209465,"Ferris State University","2011-01-01","2016-01-31","Plastics and Polymer Engineering Technology",
19826903,"Columbia University in the City of New York","2016-01-01","2018-01-31","Master of Science - MS","Enterprise Risk Management"
2001979258,"Rice University","2009-01-01","2010-01-01","Diploma","English language"
392005275,"FSG - Centro Universitário da Serra Gaúcha","2019-01-01","2024-01-31","Bacharelado","Engenharia da Produção"
2001979258,"Texas Southern University","2010-01-01","2014-01-01","Bachelor Of Business Administration (BBA)","Finance, General"
606783801,"angela high school , siliguri","2009-01-01","2010-01-01","school",
626071200,"Maryville University of Saint Louis","2019-01-01","2020-01-01","Master's degree","Business Data Analytics"
349020218,"Baruch College","2012-01-01","2015-01-01","Bachelor of Business Administration (B.B.A.), Summa Cum Laude","Major: Entrepreneurship/Entrepreneurial Management, Minor: Psychology"
19144081,"UCL","2015-01-01","2016-01-01","Master’s Degree","Human Computer Interaction with Ergonomics"
66375127,"Rose-Hulman Institute of Technology","1986-01-01","1990-01-01","BS","Electrical Engineering"
131513189,"Ikonomikon Panepistimion Athinon","2003-01-01","2005-01-01","Master of Science (MSc)","Computer Science"
94423567,"University of Missouri-Columbia",,,"Master’s Degree","Accounting"
251221372,"Universidade Federal de Santa Maria","2010-01-01","2013-01-01","Doutorado","Ciências Biológicas (Bioquímica Toxicológica)"
181663821,"Symbiosis Institute of Computer Studies and Research","2016-01-01","2018-01-31","Master of Business Administration - MBA","Information Technology"
396376641,"University of Central Florida","2011-01-01","2017-01-31","Doctor of Philosophy (Ph.D.)","Clinical Psychology"
124726758,"University of Arizona","2020-01-01","2022-01-31","Masters","Health/Health Care Administration/Management"
94293962,"Penn State University",,,"Bachelor of Science - BS","Special Education and Teaching"
359113269,"Metropolia Ammattikorkeakoulu / EVTEK University of Applied Sciences","2010-01-01","2010-01-01",,
183739274,"Brigham Young University - Idaho","2003-01-01","2007-01-01","Bachelors English Education &Theatre and Speech Education (double major) Information Systems (minor)","Secondary Education and Teaching"
706334179,"Rutgers University School of Law - Camden","1984-01-01","1986-01-31","JD","Law"
570729675,"Scoil na Mainstreach","1996-01-01","2004-01-01","Primary Education",
8904119,"Fundación Universidad de Bogotá 'JorgeTadeo Lozano'","2005-01-01","2005-01-01","Course",
228679207,"Universidade Federal do Rio Grande do Sul","2014-01-01","2018-01-31",,
312306974,"Jordan university of science and technology","2009-01-01","2015-01-31","Bachelor of Architecture (B.Arch.)","Architecture"
415402663,"Western Governors University","2016-01-01","2017-01-31","Bachelor's of Science in Nursing","Registered Nursing/Registered Nurse"
842916968,"UW-Manitowoc","2003-01-01","2005-01-31","Associate's degree","Arts and Science"
