"user_id","skill_raw","skill_mapped","skill_k75"
160354764,"networking","networking","networking / troubleshooting / technical support"
294669790,"training","training","management / leadership / training"
36236944,"internal communications","internal communications","event planning / public relations / event management"
629781884,"engineering","engineering","engineering / project engineering / commissioning"
611581156,"business development","business development","sales / business development / account management"
265524209,"tutoring","tutoring","public speaking / research / higher education"
977635795,"autocad","autocad","autocad / solidworks / mechanical engineering"
103087212,"java","java","java / eclipse / android"
646663964,"marketing","marketing","marketing / marketing strategy / customer relationship management (crm)"
75987513,"diabetes","diabetes","medical devices / pharmaceutical sales / cardiology"
167419612,"financial risk","financial risk","risk management / banking / credit"
158592749,"clinical research","clinical research","clinical research / clinical trials / medicine"
122735403,"fda","fda","pharmaceutical industry / biotechnology / good manufacturing practices"
283063960,"process improvement","process improvement","process improvement / program management / cross-functional team leadership"
82597976,"software development life cycle (sdlc)","software development life cycle (sdlc)","business analysis / integration / business process improvement"
353429493,"good manufacturing practices","good manufacturing practices","pharmaceutical industry / biotechnology / good manufacturing practices"
524788390,"sales","sales","sales / business development / account management"
15096978,"policy","policy","fundraising / nonprofits / community outreach"
644964847,"analysis","analysis","analysis / data analysis / analytical skills"
525362828,"accounting","accounting","accounting / financial reporting / auditing"
588978791,"menu development","menu development","hospitality / food / hospitality management"
193990653,"treatment","treatment","psychology / mental health / treatment"
160354764,"english","english","english / french / german"
541852890,"linux","linux","linux / unix / perl"
114836410,"business intelligence","business intelligence","business analysis / integration / business process improvement"
38013763,"signaling system 7","signaling system 7","telecommunications / voip / wireless"
21715078,"negotiation","negotiation","strategic planning / team leadership / negotiation"
447185589,"c++","c++","c++ / c / matlab"
225031294,"test automation","test automation","requirements gathering / jira / test automation"
111488420,"microsoft excel","microsoft excel","microsoft office / microsoft excel / microsoft word"
841151205,"microsoft excel","microsoft excel","microsoft office / microsoft excel / microsoft word"
51960251,"sql server","sql server","people management / planning / internet information services (iis)"
224695242,"workplace safety","workplace safety","safety management systems / mining / occupational health"
638469173,"medical records","medical records","customer service / teamwork / time management"
522717716,"higher education","higher education","public speaking / research / higher education"
599412633,"pre-sales","pre-sales","cloud computing / enterprise software / virtualization"
234908482,"business analysis","business analysis","business analysis / integration / business process improvement"
141958341,"5s","5s","manufacturing / continuous improvement / quality assurance"
522717716,"mediation","mediation","legal research / legal writing / corporate law"
684165615,"millwork","building materials","operations management / inventory management / logistics"
416313264,"social media","social media","social media / social networking / facebook"
539305859,"liability","liability","underwriting / general insurance / property"
94743410,"editing","editing","event planning / public relations / event management"
81237813,"leadership","leadership","management / leadership / training"
652263385,"401k","401k","insurance / portfolio management / investments"
102704670,"it recruitment","it recruitment","recruiting / talent management / interviews"
554516311,"six sigma","six sigma","manufacturing / continuous improvement / quality assurance"
985539436,"powertrain","powertrain","manufacturing / continuous improvement / quality assurance"
396283086,"pacs","pacs","healthcare / hospitals / healthcare management"
679695185,"biotechnology","biotechnology","pharmaceutical industry / biotechnology / good manufacturing practices"
52247986,"lean manufacturing","lean manufacturing","manufacturing / continuous improvement / quality assurance"
372311968,"xml","xml","software development / agile methodologies / xml"
250424078,"engineering","engineering","engineering / project engineering / commissioning"
294669790,"musical theatre","musical theatre","music / entertainment / music production"
461751678,"public speaking","public speaking","public speaking / research / higher education"
479184216,"strategic planning","strategic planning","strategic planning / team leadership / negotiation"
985539436,"unix","unix","linux / unix / perl"
629781884,"pallet jack","forklift operation","operations management / inventory management / logistics"
110027106,"research","research","public speaking / research / higher education"
637781815,"kaizen","kaizen","manufacturing / continuous improvement / quality assurance"
36236944,"crisis communications","crisis communications","event planning / public relations / event management"
500125790,"editorial","editorial","event planning / public relations / event management"
416313264,"digital marketing","digital marketing","marketing / marketing strategy / customer relationship management (crm)"
1052354641,"c++","c++","c++ / c / matlab"
19826903,"linux","linux","linux / unix / perl"
548040054,"databases","databases","databases / software documentation / access"
599412633,"integration","integration","business analysis / integration / business process improvement"
698261571,"team leadership","team leadership","strategic planning / team leadership / negotiation"
10787733,"public relations","public relations","event planning / public relations / event management"
141322003,"linux system administration","linux system administration","linux / unix / perl"
29627016,"employee engagement","employee engagement","management / leadership / training"
396376641,"working with adolescents","mental health counseling","psychology / mental health / treatment"
396376641,"play therapy","therapists","psychology / mental health / treatment"
500125790,"publishing","publishing","event planning / public relations / event management"
355009172,"asset management","asset management","insurance / portfolio management / investments"
506462739,"operating systems","operating systems","microsoft office / microsoft excel / microsoft word"
341651932,"purchasing","purchasing","operations management / inventory management / logistics"
368080771,"public relations","public relations","event planning / public relations / event management"
294669790,"leadership","leadership","management / leadership / training"
279109188,"machine learning","machine learning","c++ / c / matlab"
412035012,"structured query language","structured query language","structured query language / sap / microsoft sql server"
415402663,"pediatrics","pediatrics","clinical research / clinical trials / medicine"
112744310,"public health","public health","clinical research / clinical trials / medicine"
396283086,"healthcare management","healthcare management","healthcare / hospitals / healthcare management"
662210915,"brand development","brand development","marketing / marketing strategy / customer relationship management (crm)"
598391440,"e-learning","e-learning","coaching / leadership development / organizational development"
670245336,"structured query language","structured query language","structured query language / sap / microsoft sql server"
415402663,"advanced cardiac life support (acls)","advanced cardiac life support (acls)","clinical research / clinical trials / medicine"
837816018,"healthcare","healthcare","healthcare / hospitals / healthcare management"
255764417,"human resources information systems (hris)","human resources information systems (hris)","management / leadership / training"
677823177,"market research","market research","strategic planning / team leadership / negotiation"
646663964,"retail","retail","retail / merchandising / fashion"
185928908,"merchandising","merchandising","retail / merchandising / fashion"
255764417,"recruiting","recruiting","recruiting / talent management / interviews"
170205057,"matlab","matlab","c++ / c / matlab"
185928908,"time management","time management","customer service / teamwork / time management"
841151205,"oracle","oracle","structured query language / sap / microsoft sql server"
92360570,"training","training","management / leadership / training"
471331906,"external audit","external audit","accounting / financial reporting / auditing"
111488420,"change management","change management","change management / information technology infrastructure library / it service management"
27257991,"strategy","strategy","strategic planning / team leadership / negotiation"
597266983,"relocation","relocation","real estate / investment properties / property management"
554516311,"software development life cycle (sdlc)","software development life cycle (sdlc)","business analysis / integration / business process improvement"
514835869,"cascading style sheets (css)","cascading style sheets (css)","html / javascript / mysql"
315850915,"organizational development","organizational development","coaching / leadership development / organizational development"
521833003,"hydraulic fracturing","oilfield","gas / petroleum / oil/gas"
279109188,"algorithms","algorithms","c++ / c / matlab"
698832850,"publications","publications","event planning / public relations / event management"
160354764,"team building","team building","management / leadership / training"
539305859,"health insurance","health insurance","insurance / portfolio management / investments"
178552566,"powerpoint","powerpoint","microsoft office / microsoft excel / microsoft word"
329064916,"analytic problem solving","collaborative problem solving","communication / organization / presentations"
198053333,"legal liability","legal liability","underwriting / general insurance / property"
443420777,"process improvement","process improvement","process improvement / program management / cross-functional team leadership"
112744310,"nursing","nursing","clinical research / clinical trials / medicine"
548040054,"python","python","c++ / c / matlab"
62611358,"powerpoint","powerpoint","microsoft office / microsoft excel / microsoft word"
262499181,"software development","software development","software development / agile methodologies / xml"
134428770,"career counseling","career counseling","coaching / leadership development / organizational development"
447185589,"altera quartus","assembly language","c++ / c / matlab"
510342078,"customer service","customer service","customer service / teamwork / time management"
104523669,"customer service","customer service","customer service / teamwork / time management"
514835869,"start-ups","start-ups","strategic planning / team leadership / negotiation"
684165615,"customer service","customer service","customer service / teamwork / time management"
581641600,"supply chain management","supply chain management","operations management / inventory management / logistics"
490628746,"avionics","avionics","aerospace / aviation / aircraft"
132669057,"photoshop","photoshop","photoshop / graphic design / adobe creative suite"
660839238,"agile methodologies","agile methodologies","software development / agile methodologies / xml"
67347412,"basic life support","basic life support","clinical research / clinical trials / medicine"
975599187,"forecasting","forecasting","forecasting / pricing / fast-moving consumer goods (fmcg)"
841151205,"research","research","public speaking / research / higher education"
414827730,"java","java","java / eclipse / android"
660839238,"objective-c","objective-c","java / eclipse / android"
193990653,"health education","health education","clinical research / clinical trials / medicine"
523054584,"business analysis","business analysis","business analysis / integration / business process improvement"
150449216,"derivatives","derivatives","investment banking / equities / capital markets"
111488420,"strategy","strategy","strategic planning / team leadership / negotiation"
506462739,"microsoft office","microsoft office","microsoft office / microsoft excel / microsoft word"
147751294,"cascading style sheets (css)","cascading style sheets (css)","html / javascript / mysql"
110027106,"international relations","international relations","fundraising / nonprofits / community outreach"
29627016,"career development","career development","coaching / leadership development / organizational development"
139188649,"food & beverage","food & beverage","hospitality / food / hospitality management"
185928908,"inventory management","inventory management","operations management / inventory management / logistics"
539305859,"commercial lines","commercial lines","underwriting / general insurance / property"
485301795,"pediatrics","pediatrics","clinical research / clinical trials / medicine"
131513189,"mysql","mysql","html / javascript / mysql"
597266983,"management","management","management / leadership / training"
170205057,"integrated circuits (ic)","integrated circuits (ic)","electronics / embedded systems / debugging"
479836451,"cash management","cash management","risk management / banking / credit"
315850915,"team building","team building","management / leadership / training"
2000317403,"training","training","management / leadership / training"
629781884,"sap","sap","structured query language / sap / microsoft sql server"
662210915,"indesign","indesign","photoshop / graphic design / adobe creative suite"
381719853,"operations management","operations management","operations management / inventory management / logistics"
394345756,"new business development","new business development","sales / business development / account management"
524788390,"leadership","leadership","management / leadership / training"
744998383,"integration","integration","business analysis / integration / business process improvement"
493930255,"troubleshooting","troubleshooting","networking / troubleshooting / technical support"
183739274,"differentiated instruction","differentiated instruction","public speaking / research / higher education"
160354764,"microsoft excel","microsoft excel","microsoft office / microsoft excel / microsoft word"
103298299,"process improvement","process improvement","process improvement / program management / cross-functional team leadership"
744998383,"enterprise architecture","enterprise architecture","business analysis / integration / business process improvement"
844903144,"business strategy","business strategy","strategic planning / team leadership / negotiation"
180937298,"final cut pro","final cut pro","video production / video editing / video"
975599187,"sales","sales","sales / business development / account management"
116719696,"digital media","digital media","marketing / marketing strategy / customer relationship management (crm)"
144695256,"electronics","electronics","electronics / embedded systems / debugging"
111488420,"sap","sap","structured query language / sap / microsoft sql server"
38013763,"science","science","analysis / data analysis / analytical skills"
141322003,"ubuntu","ubuntu","linux / unix / perl"
52324144,"hospitals","hospitals","healthcare / hospitals / healthcare management"
234908482,"solution architecture","solution architecture","business analysis / integration / business process improvement"
19826903,"business analysis","business analysis","business analysis / integration / business process improvement"
110027106,"nonprofits","nonprofits","fundraising / nonprofits / community outreach"
602399040,"pre-opening","pre-opening","hospitality / food / hospitality management"
62967940,"google analytics","google analytics","marketing / marketing strategy / customer relationship management (crm)"
33938775,"sales","sales","sales / business development / account management"
399451909,"public relations","public relations","event planning / public relations / event management"
484599078,"sales management","sales management","sales / business development / account management"
353429493,"quality assurance","quality assurance","manufacturing / continuous improvement / quality assurance"
807884033,"c++","c++","c++ / c / matlab"
195295342,"patient advocacy","patient advocacy","clinical research / clinical trials / medicine"
